Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
pySBOL: A Python Package for Genetic Design Automation and Standardization.,/pubmed/30424601,"Bartley BA, Choi K, Samineni M, Zundel Z, Nguyen T, Myers CJ, Sauro HM.",ACS Synth Biol. 2019 Jul 19;8(7):1515-1518. doi: 10.1021/acssynbio.8b00336. Epub 2018 Dec 6.,ACS Synth Biol.  2019,PubMed,citation,PMID:30424601,pubmed,30424601,create date:2018/11/15 | first author:Bartley BA
FlyBase 2.0: the next generation.,/pubmed/30364959,"Thurmond J, Goodman JL, Strelets VB, Attrill H, Gramates LS, Marygold SJ, Matthews BB, Millburn G, Antonazzo G, Trovisco V, Kaufman TC, Calvi BR; FlyBase Consortium ..",Nucleic Acids Res. 2019 Jan 8;47(D1):D759-D765. doi: 10.1093/nar/gky1003.,Nucleic Acids Res.  2019,PubMed,citation,PMID:30364959 | PMCID:PMC6323960,pubmed,30364959,create date:2018/10/27 | first author:Thurmond J
"Open-access bacterial population genomics: BIGSdb software, the PubMLST.org website and their applications.",/pubmed/30345391,"Jolley KA, Bray JE, Maiden MCJ.",Wellcome Open Res. 2018 Sep 24;3:124. doi: 10.12688/wellcomeopenres.14826.1. eCollection 2018.,Wellcome Open Res.  2018,PubMed,citation,PMID:30345391 | PMCID:PMC6192448,pubmed,30345391,create date:2018/10/23 | first author:Jolley KA
ClinGen Allele Registry links information about genetic variants.,/pubmed/30311374,"Pawliczek P, Patel RY, Ashmore LR, Jackson AR, Bizon C, Nelson T, Powell B, Freimuth RR, Strande N, Shah N, Paithankar S, Wright MW, Dwight S, Zhen J, Landrum M, McGarvey P, Babb L, Plon SE, Milosavljevic A; Clinical Genome (ClinGen) Resource..",Hum Mutat. 2018 Nov;39(11):1690-1701. doi: 10.1002/humu.23637.,Hum Mutat.  2018,PubMed,citation,PMID:30311374 | PMCID:PMC6519371,pubmed,30311374,create date:2018/10/13 | first author:Pawliczek P
Automatic epilepsy detection using fractal dimensions segmentation and GP-SVM classification.,/pubmed/30275697,"Jirka J, Prauzek M, Krejcar O, Kuca K.",Neuropsychiatr Dis Treat. 2018 Sep 21;14:2439-2449. doi: 10.2147/NDT.S167841. eCollection 2018.,Neuropsychiatr Dis Treat.  2018,PubMed,citation,PMID:30275697 | PMCID:PMC6157576,pubmed,30275697,create date:2018/10/03 | first author:Jirka J
MultiTwin: A Software Suite to Analyze Evolution at Multiple Levels of Organization Using Multipartite Graphs.,/pubmed/30247672,"Corel E, Pathmanathan JS, Watson AK, Karkar S, Lopez P, Bapteste E.",Genome Biol Evol. 2018 Oct 1;10(10):2777-2784. doi: 10.1093/gbe/evy209.,Genome Biol Evol.  2018,PubMed,citation,PMID:30247672 | PMCID:PMC6199892,pubmed,30247672,create date:2018/09/25 | first author:Corel E
CFD and Optimization Study of Frictional Pressure Drop Through Bends.,/pubmed/30124162,"Debnath S, Banik A, Bandyopadhyay TK, Saha AK.",Recent Pat Biotechnol. 2019;13(1):74-86. doi: 10.2174/1872208312666180820153706.,Recent Pat Biotechnol.  2019,PubMed,citation,PMID:30124162,pubmed,30124162,create date:2018/08/21 | first author:Debnath S
Incorporating epigenetic mechanisms to advance fetal programming theories.,/pubmed/30068415,"Conradt E, Adkins DE, Crowell SE, Raby KL, Diamond LM, Ellis B.",Dev Psychopathol. 2018 Aug;30(3):807-824. doi: 10.1017/S0954579418000469. Review.,Dev Psychopathol.  2018,PubMed,citation,PMID:30068415 | PMCID:PMC6079515,pubmed,30068415,create date:2018/08/03 | first author:Conradt E
Massively Parallel Implementation of Sequence Alignment with Basic Local Alignment Search Tool Using Parallel Computing in Java Library.,/pubmed/30004240,"Nowicki M, Bzhalava D, BaŁa P.",J Comput Biol. 2018 Aug;25(8):871-881. doi: 10.1089/cmb.2018.0079. Epub 2018 Jul 13.,J Comput Biol.  2018,PubMed,citation,PMID:30004240,pubmed,30004240,create date:2018/07/14 | first author:Nowicki M
Interferon-stimulated genes: new platforms and computational approaches.,/pubmed/29982912,"Green R, Ireton RC, Gale M Jr.",Mamm Genome. 2018 Aug;29(7-8):593-602. doi: 10.1007/s00335-018-9755-6. Epub 2018 Jul 7. Review.,Mamm Genome.  2018,PubMed,citation,PMID:29982912,pubmed,29982912,create date:2018/07/10 | first author:Green R
LIFEx: A Freeware for Radiomic Feature Calculation in Multimodality Imaging to Accelerate Advances in the Characterization of Tumor Heterogeneity.,/pubmed/29959149,"Nioche C, Orlhac F, Boughdad S, Reuzé S, Goya-Outi J, Robert C, Pellot-Barakat C, Soussan M, Frouin F, Buvat I.",Cancer Res. 2018 Aug 15;78(16):4786-4789. doi: 10.1158/0008-5472.CAN-18-0125. Epub 2018 Jun 29.,Cancer Res.  2018,PubMed,citation,PMID:29959149,pubmed,29959149,create date:2018/07/01 | first author:Nioche C
Single Cell Genetics and Epigenetics in Early Embryo: From Oocyte to Blastocyst.,/pubmed/29943299,"Wei Y, Zhang H, Wang Q, Zhang C.",Adv Exp Med Biol. 2018;1068:103-117. doi: 10.1007/978-981-13-0502-3_9. Review.,Adv Exp Med Biol.  2018,PubMed,citation,PMID:29943299,pubmed,29943299,create date:2018/06/27 | first author:Wei Y
Scaling Computation and Memory in Living Cells.,/pubmed/29915814,"Yehl K, Lu T.",Curr Opin Biomed Eng. 2017 Dec;4:143-151. doi: 10.1016/j.cobme.2017.10.003.,Curr Opin Biomed Eng.  2017,PubMed,citation,PMID:29915814 | PMCID:PMC6003718,pubmed,29915814,create date:2018/06/20 | first author:Yehl K
Programming Cell-Cell Interactions through Non-genetic Membrane Engineering.,/pubmed/29909993,"Csizmar CM, Petersburg JR, Wagner CR.",Cell Chem Biol. 2018 Aug 16;25(8):931-940. doi: 10.1016/j.chembiol.2018.05.009. Epub 2018 Jun 14. Review.,Cell Chem Biol.  2018,PubMed,citation,PMID:29909993 | PMCID:PMC6470397,pubmed,29909993,create date:2018/06/19 | first author:Csizmar CM
DNA assembly standards: Setting the low-level programming code for plant biotechnology.,/pubmed/29907307,"Vazquez-Vilar M, Orzaez D, Patron N.",Plant Sci. 2018 Aug;273:33-41. doi: 10.1016/j.plantsci.2018.02.024. Epub 2018 Mar 3. Review.,Plant Sci.  2018,PubMed,citation,PMID:29907307,pubmed,29907307,create date:2018/06/17 | first author:Vazquez-Vilar M
Advances in bacterial cancer therapies using synthetic biology.,/pubmed/29881788,"Chien T, Doshi A, Danino T.",Curr Opin Syst Biol. 2017 Oct;5:1-8. doi: 10.1016/j.coisb.2017.05.009. Epub 2017 May 23.,Curr Opin Syst Biol.  2017,PubMed,citation,PMID:29881788 | PMCID:PMC5986102,pubmed,29881788,create date:2018/06/09 | first author:Chien T
"Genetic, management, and nutritional factors affecting intramuscular fat deposition in beef cattle - A review.",/pubmed/29879830,"Park SJ, Beak SH, Jung DJS, Kim SY, Jeong IH, Piao MY, Kang HJ, Fassah DM, Na SW, Yoo SP, Baik M.",Asian-Australas J Anim Sci. 2018 Jul;31(7):1043-1061. doi: 10.5713/ajas.18.0310. Epub 2018 May 31.,Asian-Australas J Anim Sci.  2018,PubMed,citation,PMID:29879830 | PMCID:PMC6039335,pubmed,29879830,create date:2018/06/09 | first author:Park SJ
Adaptive Fitness Predictors in Coevolutionary Cartesian Genetic Programming.,/pubmed/29863421,"Drahosova M, Sekanina L, Wiglasz M.",Evol Comput. 2019 Fall;27(3):497-523. doi: 10.1162/evco_a_00229. Epub 2018 Jun 4.,Evol Comput.  2019,PubMed,citation,PMID:29863421,pubmed,29863421,create date:2018/06/05 | first author:Drahosova M
Perinatal and long-term effects of maternal uterine artery adenoviral VEGF-A165 gene therapy in the growth-restricted guinea pig fetus.,/pubmed/29847165,"Vaughan OR, Rossi CA, Ginsberg Y, White A, Hristova M, Sebire NJ, Martin J, Zachary IC, Peebles DM, David AL.",Am J Physiol Regul Integr Comp Physiol. 2018 Aug 1;315(2):R344-R353. doi: 10.1152/ajpregu.00210.2017. Epub 2018 May 30.,Am J Physiol Regul Integr Comp Physiol.  2018,PubMed,citation,PMID:29847165,pubmed,29847165,create date:2018/05/31 | first author:Vaughan OR
CBD: a biomarker database for colorectal cancer.,/pubmed/29846545,"Zhang X, Sun XF, Cao Y, Ye B, Peng Q, Liu X, Shen B, Zhang H.",Database (Oxford). 2018 Jan 1;2018. doi: 10.1093/database/bay046.,Database (Oxford).  2018,PubMed,citation,PMID:29846545 | PMCID:PMC6007224,pubmed,29846545,create date:2018/05/31 | first author:Zhang X
The MR-Base platform supports systematic causal inference across the human phenome.,/pubmed/29846171,"Hemani G, Zheng J, Elsworth B, Wade KH, Haberland V, Baird D, Laurin C, Burgess S, Bowden J, Langdon R, Tan VY, Yarmolinsky J, Shihab HA, Timpson NJ, Evans DM, Relton C, Martin RM, Davey Smith G, Gaunt TR, Haycock PC.",Elife. 2018 May 30;7. pii: e34408. doi: 10.7554/eLife.34408.,Elife.  2018,PubMed,citation,PMID:29846171 | PMCID:PMC5976434,pubmed,29846171,create date:2018/05/31 | first author:Hemani G
Quantitative Assessment of the Physiological Parameters Influencing QT Interval Response to Medication: Application of Computational Intelligence Tools.,/pubmed/29531576,"Polak S, Wiśniowska B, Mendyk A, Pacławski A, Szlęk J.",Comput Math Methods Med. 2018 Jan 4;2018:3719703. doi: 10.1155/2018/3719703. eCollection 2018.,Comput Math Methods Med.  2018,PubMed,citation,PMID:29531576 | PMCID:PMC5817210,pubmed,29531576,create date:2018/03/14 | first author:Polak S
AutoSeqMan: batch assembly of contigs for Sanger sequences.,/pubmed/29515094,"Jin JQ, Sun YB.",Zool Res. 2018 Mar 18;39(2):123-126. doi: 10.24272/j.issn.2095-8137.2018.027.,Zool Res.  2018,PubMed,citation,PMID:29515094 | PMCID:PMC5885390,pubmed,29515094,create date:2018/03/09 | first author:Jin JQ
"Hypothesis tests for stratified mark-specific proportional hazards models with missing covariates, with application to HIV vaccine efficacy trials.",/pubmed/29488249,"Sun Y, Qi L, Yang G, Gilbert PB.",Biom J. 2018 May;60(3):516-536. doi: 10.1002/bimj.201700002. Epub 2018 Feb 28.,Biom J.  2018,PubMed,citation,PMID:29488249 | PMCID:PMC6447062,pubmed,29488249,create date:2018/03/01 | first author:Sun Y
Examining the controllability of sepsis using genetic algorithms on an agent-based model of systemic inflammation.,/pubmed/29447154,"Cockrell RC, An G.",PLoS Comput Biol. 2018 Feb 15;14(2):e1005876. doi: 10.1371/journal.pcbi.1005876. eCollection 2018 Feb.,PLoS Comput Biol.  2018,PubMed,citation,PMID:29447154 | PMCID:PMC5813897,pubmed,29447154,create date:2018/02/16 | first author:Cockrell RC
shinyGISPA: A web application for characterizing phenotype by gene sets using multiple omics data combinations.,/pubmed/29415010,"Dwivedi B, Kowalski J.",PLoS One. 2018 Feb 7;13(2):e0192563. doi: 10.1371/journal.pone.0192563. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29415010 | PMCID:PMC5802933,pubmed,29415010,create date:2018/02/08 | first author:Dwivedi B
Bystro: rapid online variant annotation and natural-language filtering at whole-genome scale.,/pubmed/29409527,"Kotlar AV, Trevino CE, Zwick ME, Cutler DJ, Wingo TS.",Genome Biol. 2018 Feb 6;19(1):14. doi: 10.1186/s13059-018-1387-3.,Genome Biol.  2018,PubMed,citation,PMID:29409527 | PMCID:PMC5801807,pubmed,29409527,create date:2018/02/08 | first author:Kotlar AV
A phylogenetic method to perform genome-wide association studies in microbes that accounts for population structure and recombination.,/pubmed/29401456,"Collins C, Didelot X.",PLoS Comput Biol. 2018 Feb 5;14(2):e1005958. doi: 10.1371/journal.pcbi.1005958. eCollection 2018 Feb.,PLoS Comput Biol.  2018,PubMed,citation,PMID:29401456 | PMCID:PMC5814097,pubmed,29401456,create date:2018/02/06 | first author:Collins C
G2S: a web-service for annotating genomic variants on 3D protein structures.,/pubmed/29385402,"Wang J, Sheridan R, Sumer SO, Schultz N, Xu D, Gao J.",Bioinformatics. 2018 Jun 1;34(11):1949-1950. doi: 10.1093/bioinformatics/bty047.,Bioinformatics.  2018,PubMed,citation,PMID:29385402 | PMCID:PMC5972642,pubmed,29385402,create date:2018/02/01 | first author:Wang J
An enhanced artificial bee colony algorithm (EABC) for solving dispatching of hydro-thermal system (DHTS) problem.,/pubmed/29324743,"Yu Y, Wu Y, Hu B, Liu X.",PLoS One. 2018 Jan 11;13(1):e0189282. doi: 10.1371/journal.pone.0189282. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29324743 | PMCID:PMC5764251,pubmed,29324743,create date:2018/01/13 | first author:Yu Y
Mapping genetic variations to three-dimensional protein structures to enhance variant interpretation: a proposed framework.,/pubmed/29254494,"Glusman G, Rose PW, Prlić A, Dougherty J, Duarte JM, Hoffman AS, Barton GJ, Bendixen E, Bergquist T, Bock C, Brunk E, Buljan M, Burley SK, Cai B, Carter H, Gao J, Godzik A, Heuer M, Hicks M, Hrabe T, Karchin R, Leman JK, et al.",Genome Med. 2017 Dec 18;9(1):113. doi: 10.1186/s13073-017-0509-y. Review.,Genome Med.  2017,PubMed,citation,PMID:29254494 | PMCID:PMC5735928,pubmed,29254494,create date:2017/12/20 | first author:Glusman G
MetaGenyo: a web tool for meta-analysis of genetic association studies.,/pubmed/29246109,"Martorell-Marugan J, Toro-Dominguez D, Alarcon-Riquelme ME, Carmona-Saez P.",BMC Bioinformatics. 2017 Dec 16;18(1):563. doi: 10.1186/s12859-017-1990-4.,BMC Bioinformatics.  2017,PubMed,citation,PMID:29246109 | PMCID:PMC5732412,pubmed,29246109,create date:2017/12/17 | first author:Martorell-Marugan J
Using Social Media Data to Understand the Impact of Promotional Information on Laypeople's Discussions: A Case Study of Lynch Syndrome.,/pubmed/29237586,"Bian J, Zhao Y, Salloum RG, Guo Y, Wang M, Prosperi M, Zhang H, Du X, Ramirez-Diaz LJ, He Z, Sun Y.",J Med Internet Res. 2017 Dec 13;19(12):e414. doi: 10.2196/jmir.9266.,J Med Internet Res.  2017,PubMed,citation,PMID:29237586 | PMCID:PMC5745354,pubmed,29237586,create date:2017/12/15 | first author:Bian J
In-vitro blockade of the CD4 receptor co-signal in antigen-specific T-cell stimulation cultures induces the outgrowth of potent CD4 independent T-cell effectors.,/pubmed/29154771,"Vatter S, Schmid M, Gebhard C, Mirbeth C, Klobuch S, Rehli M, Herr W, Thomas S.",J Immunol Methods. 2018 Mar;454:80-85. doi: 10.1016/j.jim.2017.11.006. Epub 2017 Nov 14.,J Immunol Methods.  2018,PubMed,citation,PMID:29154771,pubmed,29154771,create date:2017/11/21 | first author:Vatter S
Low cost and open source multi-fluorescence imaging system for teaching and research in biology and bioengineering.,/pubmed/29140977,"Nuñez I, Matute T, Herrera R, Keymer J, Marzullo T, Rudge T, Federici F.",PLoS One. 2017 Nov 15;12(11):e0187163. doi: 10.1371/journal.pone.0187163. eCollection 2017.,PLoS One.  2017,PubMed,citation,PMID:29140977 | PMCID:PMC5687719,pubmed,29140977,create date:2017/11/16 | first author:Nuñez I
Quantitative proteomic analysis of deciduous molars during cap to bell transition in miniature pig.,/pubmed/29129749,"Li Y, Gong Y, Wu X, Wang F, Xie Y, Zhu Z, Su Y, Wang J, Zhang C, He J, Deng H, Wang S.",J Proteomics. 2018 Feb 10;172:57-67. doi: 10.1016/j.jprot.2017.10.013. Epub 2017 Nov 10.,J Proteomics.  2018,PubMed,citation,PMID:29129749,pubmed,29129749,create date:2017/11/14 | first author:Li Y
ActiveDriverDB: human disease mutations and genome variation in post-translational modification sites of proteins.,/pubmed/29126202,"Krassowski M, Paczkowska M, Cullion K, Huang T, Dzneladze I, Ouellette BFF, Yamada JT, Fradet-Turcotte A, Reimand J.",Nucleic Acids Res. 2018 Jan 4;46(D1):D901-D910. doi: 10.1093/nar/gkx973.,Nucleic Acids Res.  2018,PubMed,citation,PMID:29126202 | PMCID:PMC5753267,pubmed,29126202,create date:2017/11/11 | first author:Krassowski M
Maternal gestational weight gain and DNA methylation in young women: application of life course mediation methods.,/pubmed/29106309,"Huang JY, Siscovick DS, Hochner H, Friedlander Y, Enquobahrie DA.",Epigenomics. 2017 Dec;9(12):1559-1571. doi: 10.2217/epi-2017-0085. Epub 2017 Nov 6.,Epigenomics.  2017,PubMed,citation,PMID:29106309 | PMCID:PMC5704089,pubmed,29106309,create date:2017/11/07 | first author:Huang JY
ExpressionDB: An open source platform for distributing genome-scale datasets.,/pubmed/29095940,"Hughes LD, Lewis SA, Hughes ME.",PLoS One. 2017 Nov 2;12(11):e0187457. doi: 10.1371/journal.pone.0187457. eCollection 2017.,PLoS One.  2017,PubMed,citation,PMID:29095940 | PMCID:PMC5667849,pubmed,29095940,create date:2017/11/03 | first author:Hughes LD
An architecture for genomics analysis in a clinical setting using Galaxy and Docker.,/pubmed/29048555,"Digan W, Countouris H, Barritault M, Baudoin D, Laurent-Puig P, Blons H, Burgun A, Rance B.",Gigascience. 2017 Nov 1;6(11):1-9. doi: 10.1093/gigascience/gix099.,Gigascience.  2017,PubMed,citation,PMID:29048555 | PMCID:PMC5691353,pubmed,29048555,create date:2017/10/20 | first author:Digan W
Matchmaker Exchange.,/pubmed/29044468,"Sobreira NLM, Arachchi H, Buske OJ, Chong JX, Hutton B, Foreman J, Schiettecatte F, Groza T, Jacobsen JOB, Haendel MA, Boycott KM, Hamosh A, Rehm HL; Matchmaker Exchange Consortium..",Curr Protoc Hum Genet. 2017 Oct 18;95:9.31.1-9.31.15. doi: 10.1002/cphg.50.,Curr Protoc Hum Genet.  2017,PubMed,citation,PMID:29044468 | PMCID:PMC6016856,pubmed,29044468,create date:2017/10/19 | first author:Sobreira NLM
myVCF: a desktop application for high-throughput mutations data management.,/pubmed/29036298,"Pietrelli A, Valenti L.",Bioinformatics. 2017 Nov 15;33(22):3676-3678. doi: 10.1093/bioinformatics/btx475.,Bioinformatics.  2017,PubMed,citation,PMID:29036298,pubmed,29036298,create date:2017/10/17 | first author:Pietrelli A
Artificial intelligence in peer review: How can evolutionary computation support journal editors?,/pubmed/28931033,"Mrowinski MJ, Fronczak P, Fronczak A, Ausloos M, Nedic O.",PLoS One. 2017 Sep 20;12(9):e0184711. doi: 10.1371/journal.pone.0184711. eCollection 2017.,PLoS One.  2017,PubMed,citation,PMID:28931033 | PMCID:PMC5607159,pubmed,28931033,create date:2017/09/21 | first author:Mrowinski MJ
Construction of an easy-to-use CRISPR-Cas9 system by patching a newly designed EXIT circuit.,/pubmed/28878819,"Tang Q, Lou C, Liu SJ.",J Biol Eng. 2017 Sep 4;11:32. doi: 10.1186/s13036-017-0072-5. eCollection 2017.,J Biol Eng.  2017,PubMed,citation,PMID:28878819 | PMCID:PMC5582390,pubmed,28878819,create date:2017/09/08 | first author:Tang Q
Engineering a riboswitch-based genetic platform for the self-directed evolution of acid-tolerant phenotypes.,/pubmed/28871084,"Pham HL, Wong A, Chua N, Teo WS, Yew WS, Chang MW.",Nat Commun. 2017 Sep 4;8(1):411. doi: 10.1038/s41467-017-00511-w.,Nat Commun.  2017,PubMed,citation,PMID:28871084 | PMCID:PMC5583362,pubmed,28871084,create date:2017/09/06 | first author:Pham HL
